n_patients,n_rows,n_constant_covariates,n_time_dependent_covariates,package,mean_time_s,n_repeats,status
500,3710,0,1,cox_r_survival,0.005300998687744141,1,ok
500,3710,0,1,cox_lifelines,0.11873412132263184,1,ok
500,3710,0,1,cox_survival_gpu_cpu_f64,0.1668553352355957,1,ok
500,3710,0,1,cox_survival_gpu_cpu_f32,0.1610884666442871,1,ok
500,3710,0,1,cox_survival_gpu_cuda_f64,0.3785092830657959,1,ok
500,3710,0,1,cox_survival_gpu_cuda_f32,0.49750494956970215,1,ok
1000,7471,0,1,cox_r_survival,0.00831913948059082,1,ok
1000,7471,0,1,cox_lifelines,0.22531604766845703,1,ok
1000,7471,0,1,cox_survival_gpu_cpu_f64,0.18274927139282227,1,ok
1000,7471,0,1,cox_survival_gpu_cpu_f32,0.17966818809509277,1,ok
1000,7471,0,1,cox_survival_gpu_cuda_f64,0.2935786247253418,1,ok
1000,7471,0,1,cox_survival_gpu_cuda_f32,0.5732407569885254,1,ok
5000,36635,0,1,cox_r_survival,0.03255200386047363,1,ok
5000,36635,0,1,cox_lifelines,0.8209414482116699,1,ok
5000,36635,0,1,cox_survival_gpu_cpu_f64,0.27545952796936035,1,ok
5000,36635,0,1,cox_survival_gpu_cpu_f32,0.27420473098754883,1,ok
5000,36635,0,1,cox_survival_gpu_cuda_f64,0.24862051010131836,1,ok
5000,36635,0,1,cox_survival_gpu_cuda_f32,0.28871870040893555,1,ok
10000,73220,0,1,cox_r_survival,0.06817293167114258,1,ok
10000,73220,0,1,cox_lifelines,1.466496229171753,1,ok
10000,73220,0,1,cox_survival_gpu_cpu_f64,0.3682091236114502,1,ok
10000,73220,0,1,cox_survival_gpu_cpu_f32,0.3668644428253174,1,ok
10000,73220,0,1,cox_survival_gpu_cuda_f64,0.2835502624511719,1,ok
10000,73220,0,1,cox_survival_gpu_cuda_f32,0.33268284797668457,1,ok
50000,367939,0,1,cox_r_survival,0.4845407009124756,1,ok
50000,367939,0,1,cox_lifelines,6.272632598876953,1,ok
50000,367939,0,1,cox_survival_gpu_cpu_f64,1.2085764408111572,1,ok
50000,367939,0,1,cox_survival_gpu_cpu_f32,1.1976134777069092,1,ok
50000,367939,0,1,cox_survival_gpu_cuda_f64,0.3538234233856201,1,ok
50000,367939,0,1,cox_survival_gpu_cuda_f32,0.372452974319458,1,ok
100000,735545,0,1,cox_r_survival,1.2405097484588623,1,ok
100000,735545,0,1,cox_lifelines,12.813593626022339,1,ok
100000,735545,0,1,cox_survival_gpu_cpu_f64,2.4330997467041016,1,ok
100000,735545,0,1,cox_survival_gpu_cpu_f32,2.3694357872009277,1,ok
100000,735545,0,1,cox_survival_gpu_cuda_f64,0.4238309860229492,1,ok
100000,735545,0,1,cox_survival_gpu_cuda_f32,0.45784592628479004,1,ok
500000,3675764,0,1,cox_r_survival,9.466020584106445,1,ok
500000,3675764,0,1,cox_lifelines,65.23643350601196,1,ok
500000,3675764,0,1,cox_survival_gpu_cpu_f64,14.351264238357544,1,ok
500000,3675764,0,1,cox_survival_gpu_cpu_f32,14.30858063697815,1,ok
500000,3675764,0,1,cox_survival_gpu_cuda_f64,1.0979576110839844,1,ok
500000,3675764,0,1,cox_survival_gpu_cuda_f32,1.0902273654937744,1,ok
1000000,7346998,0,1,cox_r_survival,18.110372304916382,1,ok
1000000,7346998,0,1,cox_lifelines,131.9497184753418,1,ok
1000000,7346998,0,1,cox_survival_gpu_cpu_f64,31.47331142425537,1,ok
1000000,7346998,0,1,cox_survival_gpu_cpu_f32,31.175366163253784,1,ok
1000000,7346998,0,1,cox_survival_gpu_cuda_f64,2.002668857574463,1,ok
1000000,7346998,0,1,cox_survival_gpu_cuda_f32,1.983372688293457,1,ok
