experiment_name,package,n_patients,scenario,HR_target,max_time,cutoff,constrained,dtype,device,computation_time
27_04_2026_wce_bootstraps_500,survivalgpu,500,exponential_scenario,1.3,365,180,,float32,cuda,288.4952268600464
27_04_2026_wce_bootstraps_500,survivalgpu,500,exponential_scenario,1.3,365,180,,float32,cpu,596.7537024021149
27_04_2026_wce_bootstraps_500,WCE,500,exponential_scenario,1.3,365,180,,float64,cpu,412.0513529777527
27_04_2026_wce_bootstraps_500,survivalgpu,1000,exponential_scenario,1.3,365,180,,float32,cuda,296.4067928791046
27_04_2026_wce_bootstraps_500,survivalgpu,1000,exponential_scenario,1.3,365,180,,float32,cpu,957.7777111530304
27_04_2026_wce_bootstraps_500,WCE,1000,exponential_scenario,1.3,365,180,,float64,cpu,1209.8925247192383
27_04_2026_wce_bootstraps_500,survivalgpu,5000,exponential_scenario,1.3,365,180,,float32,cuda,294.60591888427734
27_04_2026_wce_bootstraps_500,survivalgpu,5000,exponential_scenario,1.3,365,180,,float32,cpu,4191.67545747757
27_04_2026_wce_bootstraps_500,WCE,5000,exponential_scenario,1.3,365,180,,float64,cpu,13948.6476624012
27_04_2026_wce_bootstraps_500,survivalgpu,10000,exponential_scenario,1.3,365,180,,float32,cuda,342.06715512275696
27_04_2026_wce_bootstraps_500,survivalgpu,10000,exponential_scenario,1.3,365,180,,float32,cpu,8911.913951396942
27_04_2026_wce_bootstraps_500,WCE,10000,exponential_scenario,1.3,365,180,,float64,cpu,40252.8152718544
27_04_2026_wce_bootstraps_500,survivalgpu,50000,exponential_scenario,1.3,365,180,,float32,cuda,1206.1915910243988
27_04_2026_wce_bootstraps_500,survivalgpu,50000,exponential_scenario,1.3,365,180,,float32,cpu,49381.34561133385
27_04_2026_wce_bootstraps_500,WCE,50000,exponential_scenario,1.3,365,180,,float64,cpu,884534.2918717861
27_04_2026_wce_bootstraps_500,survivalgpu,100000,exponential_scenario,1.3,365,180,,float32,cuda,2510.813787460327
27_04_2026_wce_bootstraps_500,survivalgpu,100000,exponential_scenario,1.3,365,180,,float32,cpu,100982.21800875664
27_04_2026_wce_bootstraps_500,WCE,100000,exponential_scenario,1.3,365,180,,float64,cpu,3987915.09148407
